subject,question,type,option_a,option_b,option_c,option_d,correct_answer,s1_text,s1_ans,s2_text,s2_ans,s3_text,s3_ans,active
Bahasa Indonesia,Siapa yang mengusulkan meminta bantuan hewan cerdik dalam cerita Danau untuk Semua?,MC,Bani,Ucil,Rino,Hari,D,,,,,,,Y
Bahasa Indonesia,Makna ungkapan diam seribu bahasa adalah...,MC,Tidak mampu berbuat sesuatu,Menahan diri untuk tidak berbicara,Tidak mau mendengarkan orang lain,Tidak mengetahui masalah,B,,,,,,,Y
Bahasa Indonesia,Peristiwa kehidupan yang sesuai dengan pengalaman Ucil.,TF,,,,,,Tita memberi ide cemerlang untuk kelas,Sesuai,Jani menghargai kepercayaan teman,Sesuai,Nina bertanggung jawab pada tugasnya,Sesuai,Y
Bahasa Indonesia,Contoh hewan folivora adalah...,MCMA,Sapi,Koala,Panda,,"B,C",,,,,,,Y
Bahasa Indonesia,Gagasan utama paragraf ketiga teks folivora adalah...,MC,Jenis daun untuk folivora,Pembagian hewan berdasarkan makanan,Cara tubuh folivora mencerna daun,Pentingnya hutan bagi folivora,C,,,,,,,Y
Bahasa Indonesia,Bagan yang sesuai dengan teks folivora adalah...,MC,Tiga kelompok hewan → pengertian folivora → contoh → cara mencerna,Tiga kelompok hewan → contoh → pengertian → cara mencerna,Tiga kelompok hewan → contoh → pengertian → cara mencerna,Tiga kelompok hewan → pengertian folivora → cara mencerna → contoh,D,,,,,,,Y
Bahasa Indonesia,Penjelasan Koko tentang anak lembu adalah...,MCMA,Makhluk itu sangat sombong,Anak lembu tidak jahat,Lembu tidak makan katak,,"B,C",,,,,,,Y
Bahasa Indonesia,Kejadian yang membuat Kenthus menyesal adalah...,MC,Hampir ditelan lembu,Berlari ke kolam,Mengembang terlalu besar hingga lemas,Dimarahi kakaknya,C,,,,,,,Y
Bahasa Indonesia,Reaksi pembaca pada akhir cerita Kenthus.,TF,,,,,,Terharu karena Kenthus mengakui kesalahan,Benar,Bahagia karena Kenthus berdamai dengan lembu,Salah,Antusias karena Kenthus kuat,Salah,Y
Bahasa Indonesia,Makna kata menegangkan dalam surat Margaret Hamilton.,MC,Membuat waspada,Menghilangkan fokus,Menimbulkan ketakutan,Menimbulkan kekhawatiran karena situasi genting,D,,,,,,,Y
Bahasa Indonesia,Pernyataan yang mendukung ide utama surat tentang kode komputer Apollo 11.,MC,Kode membawa manusia ke Venus,Kode dibahas setelah rapat,Kode membuat astronaut mendarat aman,Kode mengirim pesan kesalahan,C,,,,,,,Y
Bahasa Indonesia,Pelajaran dari pengalaman Margaret Hamilton.,TF,,,,,,Ketelitian sangat penting,Benar,Proyek luar angkasa memotivasi orang,Salah,Tanggung jawab membuat tetap fokus,Benar,Y
Bahasa Indonesia,Benda yang umum digunakan dalam kerajinan adalah...,MC,Mainan plastik,Cat semprot,Magnet,Gunting,D,,,,,,,Y
Bahasa Indonesia,Langkah kedua pembuatan magnet kulkas mendukung tujuan karena...,MCMA,Menutup permukaan mainan,Memudahkan mewarnai,Menutup lubang agar magnet menempel,,"A,C",,,,,,,Y
Bahasa Indonesia,Mengapa mainan hewan dipotong dua?,MC,Agar lebih besar,Agar dapat ditempel di kulkas,Agar mudah dicat,Agar mudah diberi lem,B,,,,,,,Y
Bahasa Indonesia,Fungsi elektrolit pada air mineral adalah...,MC,Menjaga tekanan darah,Meningkatkan fungsi jantung,Mencegah dehidrasi,Mempermudah metabolisme,C,,,,,,,Y
Bahasa Indonesia,Mengapa air putih cocok diminum setiap saat?,MC,Sumbernya mudah ditemukan,Kandungannya banyak,Diproses alami,pH lebih tinggi,A,,,,,,,Y
Bahasa Indonesia,Alasan kata BEDA pada infografis berwarna oranye.,TF,,,,,,Menekankan pokok utama,Benar,Menonjolkan informasi penting,Benar,Menyesuaikan warna favorit pembaca,Salah,Y
Bahasa Indonesia,Tokoh yang menyelesaikan keributan antrean adalah...,MC,Tia,Devi,Kasir,Pak Satpam,D,,,,,,,Y
Bahasa Indonesia,Peristiwa yang dialami Tia dalam cerita.,MCMA,Mencari dan membeli buku,Dinasihati ibu untuk antre,Menegur pemuda menyerobot antrean,,"A,C",,,,,,,Y
Bahasa Indonesia,Alasan perkataan pemuda tidak dapat dibenarkan.,TF,,,,,,Semua orang ingin cepat dilayani,Mendukung,Mengantre butuh kesabaran,Tidak Mendukung,Aturan antre harus dihormati,Mendukung,Y
Bahasa Indonesia,Penyebab gigi berlubang adalah...,MC,Kerusakan enamel,Enamel lebih lemah,Saraf sensitif,Bakteri menghasilkan asam,D,,,,,,,Y
Bahasa Indonesia,Akibat gigi tidak dirawat.,MCMA,Gigi rusak dan berlubang,Mengunyah lebih lama,Ditumbuhi bakteri,,"A,C",,,,,,,Y
Bahasa Indonesia,Fungsi tanda panah pada gambar gigi.,TF,,,,,,Mempermudah melihat kondisi gigi,Salah,Menunjukkan lapisan gigi,Benar,Menjelaskan fungsi setiap gigi,Salah,Y
Bahasa Indonesia,Larik puisi yang menunjukkan kerinduan.,MCMA,Senyum itu enggan lepas dari bibirmu,Uluran tanganmu menyambutku,Maafmu selalu terbuka untukku,,"A,B",,,,,,,Y
Bahasa Indonesia,Makna larik kesetiaan yang tak akan pernah lekang oleh masa.,MC,Simbol dukungan,Ungkapan kebahagiaan,Rasa syukur,Hubungan abadi meski waktu memisahkan,D,,,,,,,Y
Bahasa Indonesia,Pesan yang ingin disampaikan dalam puisi.,MC,Harus selalu mengalah,Persahabatan di atas keluarga,Persahabatan butuh pengertian dan kesetiaan,Persahabatan sering gagal,C,,,,,,,Y
Bahasa Indonesia,Kerupuk yang sudah dikonsumsi sejak lama adalah...,MC,Rengginang,Melarat,Rambak,Gendar,C,,,,,,,Y
Bahasa Indonesia,Alasan kerupuk Indonesia mendunia.,TF,,,,,,Nilai ekspor puluhan juta dolar,Benar,Ada sejak abad 9-10,Salah,Dikirim lebih dari 20 juta kg,Benar,Y
Bahasa Indonesia,Fungsi gambar berbagai kerupuk pada infografis.,TF,,,,,,Menunjukkan ragam kerupuk,Benar,Memberi informasi jenis kerupuk,Benar,Menjelaskan bahan kerupuk,Salah,Y
